Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
50,Round of 16,03/12/2022 20:00,Ahmad Bin Ali Stadium,C1,D2,,
52,Round of 16,04/12/2022 16:00,Al Thumama Stadium,D1,C2,,
51,Round of 16,04/12/2022 20:00,Al Bayt Stadium,B1,A2,,
53,Round of 16,05/12/2022 16:00,Al Janoub Stadium,E1,F2,,
54,Round of 16,05/12/2022 20:00,Stadium 974,G1,H2,,
55,Round of 16,06/12/2022 16:00,Education City Stadium,F1,E2,,
56,Round of 16,06/12/2022 20:00,LUnited Statesil Stadium,H1,G2,,
58,Quarter Finals,09/12/2022 16:00,Education City Stadium,LS1,LS2,,
57,Quarter Finals,09/12/2022 20:00,LUnited Statesil Stadium,LS5,LS6,,
60,Quarter Finals,10/12/2022 16:00,Al Thumama Stadium,LS7,LS8,,
59,Quarter Finals,10/12/2022 20:00,Al Bayt Stadium,LS3,LS4,,
61,Semi Finals,13/12/2022 20:00,LUnited Statesil Stadium,QF1,QF2,,
62,Semi Finals,14/12/2022 20:00,Al Bayt Stadium,QF3,QF4,,
63,Finals,17/12/2022 16:00,Khalifa International Stadium,SF1,SF2,,
64,Finals,18/12/2022 16:00,LUnited Statesil Stadium,SF1,SF2,,
